open_time,open,high,low,close,volume
1784142000000,64860.00000000,65000.00000000,64738.49000000,64977.34000000,377.96921000
1784145600000,64977.34000000,65055.39000000,64899.00000000,64968.01000000,239.51973000
1784149200000,64968.02000000,65018.74000000,64789.89000000,64834.31000000,289.23644000
1784152800000,64834.31000000,64982.47000000,64772.00000000,64866.93000000,275.16571000
1784156400000,64866.93000000,64938.00000000,64691.89000000,64756.28000000,309.94630000
1784160000000,64756.28000000,64845.50000000,64500.00000000,64584.07000000,762.20624000
1784163600000,64584.07000000,64830.00000000,64392.01000000,64730.01000000,462.87658000
1784167200000,64730.00000000,64735.09000000,64574.02000000,64642.01000000,327.49099000
1784170800000,64642.00000000,64745.55000000,64555.00000000,64619.95000000,221.04888000
1784174400000,64619.96000000,64692.00000000,64544.04000000,64650.05000000,615.61718000
1784178000000,64650.05000000,64997.52000000,64592.67000000,64917.99000000,618.60530000
1784181600000,64917.99000000,64978.00000000,64630.01000000,64777.32000000,355.62558000
1784185200000,64777.33000000,64777.33000000,64086.12000000,64238.00000000,1138.76345000
1784188800000,64238.00000000,64380.00000000,63888.00000000,64126.85000000,3967.60650000
1784192400000,64126.86000000,64186.83000000,64019.02000000,64090.00000000,3387.73889000
1784196000000,64090.00000000,64269.42000000,64077.75000000,64221.34000000,351.18175000
1784199600000,64221.34000000,64269.42000000,64101.00000000,64256.53000000,377.01841000
1784203200000,64256.52000000,64256.52000000,63838.28000000,63966.01000000,728.30687000
1784206800000,63966.01000000,64480.00000000,63961.14000000,64376.00000000,827.04997000
1784210400000,64375.99000000,64863.07000000,64332.57000000,64543.51000000,993.97642000
1784214000000,64543.51000000,64896.00000000,64320.00000000,64704.73000000,620.57363000
1784217600000,64704.73000000,64712.00000000,64333.33000000,64484.00000000,523.57946000
1784221200000,64484.01000000,64484.01000000,63984.09000000,64069.03000000,616.12218000
1784224800000,64069.04000000,64330.00000000,64052.14000000,64246.01000000,275.58322000
1784228400000,64246.01000000,64301.99000000,64152.00000000,64271.84000000,368.59969000
1784232000000,64271.85000000,64276.00000000,64108.00000000,64114.27000000,169.71905000
1784235600000,64114.25000000,64253.25000000,64101.18000000,64161.99000000,188.09780000
1784239200000,64162.00000000,64240.12000000,63950.01000000,63968.00000000,351.60652000
1784242800000,63968.01000000,64010.58000000,63748.74000000,63830.20000000,515.53223000
1784246400000,63830.20000000,63912.00000000,63612.62000000,63886.00000000,435.36884000
